aX,aY,aZ,gX,gY,gZ
-0.010,0.943,0.294,-9.766,2.686,6.531
0.035,0.950,0.292,-3.174,3.662,5.554
0.083,0.915,0.314,-0.671,1.160,8.118
0.050,0.884,0.348,5.066,-4.456,7.385
-0.007,0.924,0.312,8.667,-5.371,7.019
0.016,0.992,0.321,-5.920,-3.540,5.859
0.063,1.035,0.252,-13.306,-1.587,3.845
0.087,0.956,0.256,-12.085,-0.854,3.357
0.057,0.876,0.294,2.869,-0.916,4.028
0.049,0.870,0.317,10.681,-0.916,4.578
0.068,0.900,0.309,8.484,-1.038,4.883
0.075,0.898,0.311,3.235,-1.587,3.479
0.057,0.903,0.308,4.089,-2.625,2.563
0.053,0.921,0.308,3.845,-1.587,3.296
0.060,0.922,0.310,3.113,-0.916,3.296
0.060,0.901,0.297,5.066,0.427,2.625
0.061,0.882,0.282,5.371,1.648,2.197
0.067,0.908,0.262,2.563,1.648,2.502
0.064,0.938,0.258,-3.113,2.014,3.418
0.058,0.934,0.246,-2.441,2.197,2.319
0.059,0.922,0.247,-2.686,1.770,2.747
0.057,0.904,0.259,-0.305,2.136,2.747
0.053,0.886,0.265,3.113,3.113,2.258
0.061,0.878,0.270,3.906,3.967,1.892
0.071,0.874,0.283,3.662,3.113,1.221
0.064,0.901,0.296,3.601,2.747,0.916
0.069,0.914,0.298,2.441,3.052,0.244
0.064,0.907,0.294,2.930,1.221,-0.793
0.056,0.927,0.297,1.709,0.854,-0.183
0.055,0.910,0.285,0.000,1.404,0.244
0.049,0.884,0.282,0.366,2.197,0.244
0.053,0.888,0.284,0.122,3.662,0.793
0.064,0.901,0.283,-1.648,3.906,0.671
0.063,0.906,0.290,-2.136,3.845,0.061
0.058,0.920,0.298,-0.977,3.662,-0.427
0.068,0.917,0.305,0.977,3.113,-0.610
0.068,0.911,0.322,2.563,1.709,-0.854
0.051,0.907,0.304,4.089,1.709,-0.854
0.048,0.896,0.297,2.563,2.380,-1.160
0.057,0.904,0.298,-1.099,2.136,-1.282
0.062,0.926,0.306,-3.357,1.465,-0.977
0.056,0.936,0.290,-3.662,1.587,-0.305
0.051,0.937,0.274,-3.845,2.686,-0.427
0.059,0.933,0.274,-2.808,3.723,-0.793
0.066,0.926,0.285,-0.488,3.418,-1.343
0.067,0.916,0.296,2.258,2.563,-1.038
0.061,0.904,0.300,2.625,1.892,-1.160
0.057,0.906,0.308,1.831,1.587,-1.526
0.060,0.919,0.317,1.526,1.099,-1.404
0.056,0.928,0.322,1.892,1.038,-1.404
0.054,0.934,0.301,1.038,0.854,-1.343
0.076,0.961,0.291,-39.917,1.343,1.831
0.095,0.914,0.313,-54.321,2.869,1.526
0.127,0.882,0.267,-63.049,1.282,0.977
0.157,0.875,0.248,-71.289,0.183,2.380
0.148,0.856,0.299,-67.139,-1.160,3.479
0.132,0.847,0.367,-47.729,-2.075,2.869
0.137,0.874,0.349,-34.790,-4.883,4.944
0.107,0.875,0.340,-29.724,-8.667,7.202
0.036,0.891,0.348,-16.479,-9.216,8.850
-0.005,0.862,0.351,-8.667,-8.118,9.338
-0.000,0.829,0.305,-1.465,-8.240,10.193
-0.019,0.834,0.297,-4.883,-10.010,11.108
-0.055,0.906,0.300,-14.954,-8.484,8.118
-0.029,0.968,0.310,-20.386,-5.859,4.150
0.010,1.056,0.299,-21.667,-8.850,3.235
0.014,1.090,0.305,-15.564,-10.864,3.479
0.001,1.048,0.227,-1.038,-7.996,4.639
0.027,1.018,0.170,2.197,-0.793,6.348
