aX,aY,aZ,gX,gY,gZ
0.072,0.901,0.362,3.113,-0.793,1.709
0.080,0.887,0.352,4.761,-0.793,1.587
0.084,0.877,0.362,4.883,-0.122,1.038
0.087,0.881,0.357,4.150,-0.122,1.099
0.087,0.882,0.353,3.540,-0.366,1.343
0.084,0.884,0.363,2.625,-0.854,1.221
0.080,0.888,0.361,2.197,-1.770,1.038
0.073,0.896,0.358,1.892,-1.221,0.977
0.075,0.892,0.367,1.465,-0.549,0.916
0.077,0.880,0.364,2.136,-0.427,1.099
0.075,0.872,0.368,2.258,-0.610,0.549
0.079,0.877,0.368,1.282,-0.610,0.488
0.082,0.881,0.365,0.854,-0.793,0.488
0.075,0.872,0.366,1.038,-0.366,0.122
0.071,0.875,0.356,1.282,0.000,0.183
0.080,0.890,0.374,0.488,0.183,-0.183
0.088,0.888,0.364,0.305,-0.488,0.000
0.076,0.883,0.365,0.427,-0.793,0.122
0.067,0.884,0.400,0.244,-0.549,0.122
0.067,0.879,0.378,0.916,-0.549,0.061
0.068,0.880,0.366,1.465,0.000,0.122
0.068,0.894,0.362,1.465,0.305,0.366
0.068,0.889,0.359,1.709,0.183,0.366
0.066,0.880,0.363,1.953,0.244,0.000
0.066,0.871,0.377,1.160,0.000,-0.305
0.072,0.862,0.375,0.488,-0.854,-0.366
-0.024,0.929,0.256,20.203,12.207,-3.052
-0.033,0.945,0.226,23.743,11.963,-3.601
-0.003,0.929,0.409,25.635,10.315,-4.395
-0.004,0.906,0.329,35.156,4.150,-5.554
0.077,0.839,0.306,34.302,3.784,-11.169
0.121,0.936,0.313,41.931,5.432,-16.479
0.046,1.062,0.198,54.443,13.184,-14.465
0.046,1.012,0.131,61.279,22.156,-5.859
0.215,0.814,0.117,64.880,25.696,1.892
0.414,0.724,0.369,70.496,21.851,4.517
0.407,0.854,0.609,65.735,11.353,4.822
0.122,0.835,0.411,41.687,-7.568,7.812
-0.022,0.728,0.339,22.888,-12.024,7.690
-0.034,0.804,0.342,13.000,-9.521,1.892
-0.011,0.967,0.358,-2.686,-2.991,0.427
0.031,1.082,0.379,-7.996,-1.526,0.610
0.054,1.032,0.365,5.554,-0.916,1.831
0.037,0.886,0.350,21.667,-0.854,3.296
0.051,0.816,0.367,22.583,0.793,2.136
0.082,0.821,0.378,12.085,1.709,1.282
0.082,0.872,0.380,-0.183,1.831,1.221
0.060,0.924,0.353,-5.554,0.305,-0.427
