aX,aY,aZ,gX,gY,gZ
0.458,-0.906,-0.420,-56.824,-1.892,11.353
0.425,-0.895,-0.469,-69.580,-1.587,12.390
0.439,-0.858,-0.451,-80.627,-3.723,13.306
0.448,-0.844,-0.389,-87.769,-9.399,12.512
0.498,-0.817,-0.281,-91.919,-16.296,11.047
0.567,-0.781,-0.112,-92.285,-24.231,10.681
0.606,-0.790,0.018,-85.449,-30.945,7.568
0.609,-0.780,0.077,-74.585,-36.072,4.272
0.600,-0.805,0.095,-62.622,-39.124,2.869
0.568,-0.816,0.073,-52.795,-39.429,3.601
0.543,-0.799,0.037,-46.631,-36.560,4.700
0.522,-0.798,-0.004,-42.603,-31.189,6.287
0.504,-0.777,-0.068,-43.762,-24.048,8.240
0.559,-0.759,-0.056,-50.842,-19.104,8.972
0.621,-0.714,0.002,-58.838,-22.095,9.338
0.658,-0.733,0.105,-64.209,-30.212,6.653
0.666,-0.730,0.218,-67.261,-40.039,0.061
0.656,-0.757,0.314,-67.566,-47.791,-5.981
0.624,-0.791,0.363,-64.209,-51.147,-10.559
0.584,-0.815,0.372,-58.594,-47.974,-9.766
0.547,-0.823,0.342,-52.795,-38.147,-6.287
0.504,-0.826,0.278,-49.622,-23.315,-2.380
0.472,-0.829,0.216,-49.805,-4.822,1.648
0.496,-0.807,0.192,-54.810,14.160,7.385
0.535,-0.767,0.214,-61.829,27.954,11.963
0.564,-0.747,0.209,-68.481,35.095,12.939
0.601,-0.736,0.214,-73.181,35.278,10.315
0.623,-0.708,0.235,-76.355,24.231,5.554
0.634,-0.718,0.255,-77.209,2.441,-0.610
0.614,-0.722,0.291,-76.843,-26.184,-5.737
0.567,-0.726,0.346,-73.975,-52.124,-8.362
0.509,-0.753,0.409,-68.359,-65.857,-9.705
0.479,-0.747,0.419,-62.256,-62.927,-8.423
0.487,-0.745,0.424,-56.946,-48.523,-2.625
0.527,-0.697,0.444,-56.213,-29.114,3.723
0.548,-0.695,0.473,-58.044,-10.498,5.981
0.550,-0.683,0.458,-58.228,4.944,4.395
0.559,-0.695,0.448,-55.725,16.418,4.089
0.589,-0.671,0.459,-54.932,18.555,4.761
0.599,-0.680,0.473,-55.054,10.559,2.563
0.587,-0.703,0.486,-53.406,-1.709,-0.366
0.567,-0.701,0.498,-51.270,-12.451,-0.793
0.570,-0.719,0.528,-47.302,-20.752,0.671
0.529,-0.711,0.520,-39.856,-23.315,4.089
0.532,-0.704,0.506,-37.781,-21.973,4.395
0.516,-0.695,0.477,-34.058,-14.343,5.676
0.523,-0.697,0.457,-31.738,-3.967,6.348
0.524,-0.692,0.426,-32.715,6.348,7.324
0.537,-0.675,0.418,-35.706,13.855,8.850
0.563,-0.665,0.443,-38.940,15.991,10.315
0.591,-0.655,0.477,-40.955,11.414,10.925
0.607,-0.651,0.494,-41.016,1.038,9.888
0.610,-0.654,0.513,-39.612,-11.658,7.751
