aX,aY,aZ,gX,gY,gZ
0.641,-0.810,0.573,-8.301,-32.471,-16.479
0.628,-0.815,0.607,-7.324,-31.128,-15.076
0.637,-0.797,0.616,-6.348,-27.710,-12.451
0.618,-0.805,0.628,-4.822,-22.949,-10.437
0.611,-0.771,0.622,-3.662,-16.357,-8.728
0.601,-0.783,0.621,-1.343,-11.230,-8.118
0.596,-0.778,0.609,1.343,-6.165,-6.287
1.117,-0.979,0.472,-94.238,84.045,169.617
1.232,-1.012,0.495,-85.205,78.186,154.907
1.307,-1.084,0.507,-75.256,72.632,128.906
1.349,-1.177,0.481,-67.627,74.829,98.389
1.320,-1.250,0.420,-65.674,88.562,70.068
1.299,-1.331,0.345,-71.838,113.708,47.485
1.265,-1.407,0.260,-83.862,144.470,28.442
1.178,-1.512,0.155,-98.511,174.622,9.521
1.001,-1.631,0.016,-117.126,202.148,-7.202
0.898,-1.768,-0.060,-141.541,228.882,-15.564
0.725,-1.853,-0.138,-165.405,250.488,-15.381
0.391,-1.867,-0.232,-191.589,264.221,-10.193
-0.004,-1.922,-0.380,-209.900,272.888,0.122
-0.375,-1.888,-0.519,-216.003,284.241,23.621
-0.689,-1.599,-0.586,-218.201,289.429,62.500
-0.972,-1.000,-0.601,-214.172,286.743,117.432
-1.167,-0.160,-0.592,-201.599,280.579,187.561
-1.086,0.963,-0.689,-173.096,273.315,259.338
-0.659,2.330,-1.053,-131.409,253.357,308.899
-0.363,3.340,-1.228,-89.111,192.749,307.983
-0.472,3.827,-1.288,-69.641,118.225,276.001
-0.005,3.918,-0.973,-83.984,84.412,272.339
0.708,3.875,-0.436,-89.233,76.294,298.401
1.235,3.489,0.057,-59.448,58.594,286.682
1.574,2.879,0.417,-16.968,28.931,242.798
1.667,2.270,0.730,18.860,-20.447,185.486
1.590,1.758,1.097,45.654,-89.478,121.033
1.450,1.337,1.441,68.665,-155.090,56.458
1.128,1.063,1.593,82.153,-179.565,-0.549
0.918,0.905,1.478,85.999,-148.682,-38.635
0.773,0.888,1.117,95.642,-72.144,-53.772
0.642,0.915,0.632,101.379,11.108,-63.721
0.563,0.913,0.167,93.994,72.388,-75.806
0.540,0.941,-0.136,78.918,95.154,-88.989
0.556,0.985,-0.257,68.542,83.374,-98.999
0.578,1.002,-0.261,65.918,52.368,-107.971
0.611,0.974,-0.181,68.787,16.663,-115.234
0.610,0.950,-0.086,74.280,-18.921,-120.056
0.607,0.933,-0.021,85.266,-49.438,-122.986
0.632,0.907,-0.002,97.778,-72.571,-123.230
0.669,0.828,-0.014,108.704,-87.280,-121.826
0.717,0.720,-0.039,114.258,-93.628,-121.033
0.733,0.612,-0.039,112.976,-95.398,-123.047
0.747,0.474,-0.028,106.018,-90.210,-124.390
0.781,0.342,-0.028,96.863,-74.768,-122.375
0.821,0.274,-0.038,88.318,-56.519,-118.835
0.845,0.232,-0.063,81.909,-45.959,-115.417
0.850,0.147,-0.093,77.393,-44.128,-114.624
0.844,-0.005,-0.099,73.914,-47.241,-113.770
0.832,-0.109,-0.105,70.435,-49.744,-109.314
0.840,-0.172,-0.088,67.444,-49.988,-102.051
0.863,-0.234,-0.045,64.819,-49.805,-94.910
0.863,-0.264,-0.010,61.096,-51.453,-89.966
0.840,-0.278,0.015,57.129,-56.519,-86.243
0.796,-0.297,0.048,53.284,-63.049,-83.618
0.760,-0.327,0.099,49.683,-67.627,-81.238
0.709,-0.334,0.098,49.194,-67.627,-76.111
0.723,-0.341,0.137,41.809,-65.186,-71.167
0.749,-0.339,0.162,37.048,-63.171,-67.261
0.770,-0.360,0.203,36.682,-63.782,-64.819
0.762,-0.369,0.236,36.926,-65.735,-63.721
0.755,-0.401,0.276,38.940,-67.932,-59.814
0.762,-0.415,0.309,40.527,-69.458,-54.871
0.779,-0.405,0.323,42.603,-68.604,-51.819
0.782,-0.402,0.326,44.250,-66.040,-51.697
0.767,-0.400,0.315,46.082,-60.852,-52.551
0.757,-0.398,0.285,46.570,-52.307,-52.429
0.775,-0.398,0.267,44.739,-42.908,-50.415
0.801,-0.413,0.240,42.175,-34.180,-49.011
0.816,-0.438,0.225,40.161,-29.053,-50.659
0.820,-0.473,0.235,37.903,-27.954,-53.589
0.834,-0.469,0.234,34.790,-30.212,-55.359
0.834,-0.490,0.254,31.250,-36.926,-55.481
0.803,-0.517,0.280,29.480,-46.326,-54.688
0.779,-0.540,0.333,24.963,-55.298,-52.917
0.744,-0.534,0.381,23.254,-62.805,-47.546
0.718,-0.538,0.417,26.184,-68.542,-40.649
0.704,-0.535,0.435,30.640,-71.655,-35.156
0.711,-0.502,0.432,33.997,-71.106,-29.541
0.749,-0.467,0.423,36.316,-67.139,-25.269
0.813,-0.434,0.401,38.757,-60.791,-26.794
0.824,-0.466,0.407,38.391,-53.162,-35.706
0.805,-0.498,0.388,35.034,-44.373,-44.983
0.794,-0.551,0.388,31.921,-35.034,-47.668
0.784,-0.551,0.380,27.588,-28.931,-46.936
0.767,-0.543,0.387,23.499,-27.893,-45.898
0.755,-0.514,0.391,22.827,-31.799,-45.654
0.731,-0.503,0.410,25.085,-40.955,-45.227
0.703,-0.548,0.422,30.457,-52.551,-44.373
0.685,-0.565,0.428,35.095,-62.378,-41.626
0.681,-0.543,0.431,36.804,-69.214,-38.208
0.691,-0.524,0.441,37.048,-73.914,-36.011
0.693,-0.534,0.457,36.621,-76.538,-37.231
0.709,-0.571,0.462,35.400,-74.402,-39.673
0.701,-0.603,0.458,33.447,-67.383,-41.077
0.708,-0.626,0.443,30.151,-56.946,-40.100
0.717,-0.600,0.436,25.879,-46.875,-39.368
0.726,-0.599,0.427,22.949,-39.856,-42.053
0.697,-0.620,0.427,21.790,-37.537,-45.227
0.682,-0.666,0.435,20.325,-38.574,-44.250
0.666,-0.663,0.445,17.517,-40.894,-39.124
0.667,-0.633,0.460,15.320,-43.762,-33.691
0.653,-0.627,0.493,14.404,-46.631,-30.762
0.641,-0.618,0.521,13.794,-48.157,-30.151
0.614,-0.618,0.542,13.855,-48.279,-30.701
0.597,-0.629,0.545,13.977,-46.204,-31.250
0.597,-0.634,0.557,12.573,-42.480,-31.006
0.593,-0.659,0.552,10.071,-38.208,-32.104
0.571,-0.682,0.540,6.592,-33.325,-33.264
0.545,-0.728,0.540,2.441,-28.870,-33.997
0.515,-0.740,0.548,-1.343,-25.146,-32.654
0.501,-0.755,0.563,-3.784,-23.743,-29.358
0.494,-0.729,0.584,-4.700,-25.879,-25.513
0.492,-0.727,0.587,-3.845,-29.724,-23.010
0.496,-0.715,0.597,-3.479,-33.325,-20.081
0.501,-0.693,0.610,-3.906,-36.011,-17.334
0.505,-0.708,0.626,-2.869,-37.781,-15.991
0.501,-0.731,0.629,-1.648,-38.330,-14.526
0.509,-0.748,0.629,-1.343,-36.987,-11.475
0.737,-1.433,0.623,-49.744,78.552,76.233
0.794,-1.521,0.611,-53.101,88.684,89.722
0.859,-1.635,0.583,-57.556,98.389,105.469
0.940,-1.749,0.538,-63.538,109.253,124.329
1.059,-1.840,0.491,-72.266,121.521,143.860
1.130,-1.893,0.413,-82.886,132.202,159.851
1.206,-1.909,0.380,-92.529,138.672,169.922
1.261,-1.925,0.371,-101.013,136.780,174.011
1.274,-1.946,0.373,-106.201,127.380,171.204
1.273,-1.980,0.325,-108.398,118.835,161.438
1.298,-2.054,0.251,-111.084,119.934,146.301
1.268,-2.117,0.132,-114.685,131.897,125.793
1.157,-2.161,-0.081,-117.798,156.189,103.149
0.900,-2.153,-0.304,-136.902,189.514,82.458
0.514,-2.169,-0.597,-165.039,220.276,67.139
0.046,-2.162,-0.890,-187.805,258.301,63.599
-0.460,-1.927,-1.176,-222.107,296.753,74.646
-0.920,-1.367,-1.321,-262.085,324.585,104.187
-1.173,-0.483,-1.380,-298.462,333.618,153.442
-1.187,0.877,-1.592,-316.833,317.993,209.473
-0.793,2.553,-1.696,-301.147,257.629,236.694
-0.243,3.984,-1.423,-299.500,159.119,248.718
0.327,4.000,-0.844,-291.992,93.689,250.366
0.741,4.000,-0.254,-230.286,96.680,231.873
1.034,4.000,0.165,-147.461,111.267,201.050
1.120,3.487,0.597,-91.797,99.731,177.795
1.033,2.691,1.065,-48.401,56.030,150.513
0.839,1.950,1.431,-20.447,-1.587,106.262
0.643,1.473,1.654,-9.949,-42.297,53.650
0.501,1.166,1.680,-1.099,-39.856,15.320
0.443,1.036,1.366,17.212,7.446,-3.601
0.497,1.043,0.836,43.091,77.820,-11.292
0.477,0.978,0.312,64.209,128.418,-21.851
0.334,0.872,-0.123,74.402,130.371,-43.457
0.213,0.733,-0.326,69.580,90.210,-69.092
0.172,0.643,-0.350,63.782,35.767,-82.214
0.265,0.619,-0.260,65.796,-7.812,-78.247
0.396,0.664,-0.135,73.059,-38.086,-72.205
0.516,0.723,-0.028,82.764,-62.439,-71.289
0.591,0.775,0.039,94.910,-87.219,-75.256
0.693,0.811,0.089,106.812,-112.305,-79.529
0.744,0.851,0.107,117.188,-133.362,-83.923
0.770,0.855,0.106,127.075,-144.409,-89.661
0.791,0.789,0.074,134.705,-142.029,-94.421
0.787,0.695,0.049,138.672,-131.531,-98.206
0.801,0.596,0.021,138.367,-119.263,-100.708
0.852,0.463,-0.008,135.498,-104.919,-101.685
0.885,0.343,-0.032,131.165,-90.881,-104.065
0.884,0.219,-0.047,127.625,-79.102,-108.276
0.892,0.120,-0.049,123.230,-71.411,-110.107
0.901,0.029,-0.036,119.507,-70.129,-110.535
0.918,-0.079,-0.017,120.117,-75.439,-110.535
0.914,-0.162,-0.001,123.413,-84.839,-109.680
0.922,-0.233,0.005,125.366,-93.018,-106.873
