aX,aY,aZ,gX,gY,gZ
0.127,0.852,0.425,0.122,0.244,0.732
0.128,0.846,0.423,-0.366,0.183,0.427
0.129,0.844,0.433,0.488,0.427,0
0.127,0.85,0.427,0.549,0.854,0.61
0.132,0.856,0.425,0.549,0.488,-0.427
0.124,0.843,0.432,0.488,1.038,0.793
0.127,0.84,0.428,0.732,1.038,0.366
0.129,0.849,0.423,1.343,1.16,0.854
0.126,0.854,0.427,0.244,0.732,0.854
0.132,0.851,0.428,-0.305,0.916,0
0.13,0.85,0.426,0.366,0.488,0.061
0.123,0.844,0.434,0.061,0.916,0.488
0.127,0.849,0.427,0.793,0.854,0.488
0.128,0.852,0.432,-0.244,0.671,-0.183
0.122,0.849,0.43,0.244,0.671,0.671
0.133,0.853,0.424,0.061,0.916,0
0.13,0.849,0.427,0,0.732,0.061
0.128,0.845,0.422,0.305,0.732,0.366
0.124,0.858,0.421,0.305,0.549,0.183
0.124,0.851,0.427,0.427,0.549,0
0.127,0.86,0.429,0.61,0.732,0.122
0.125,0.852,0.428,0.61,0.488,0.366
0.131,0.852,0.425,0.916,0.916,0.732
0.122,0.849,0.427,0.244,0.427,0.671
0.13,0.849,0.429,0.61,1.221,0.183
0.128,0.86,0.416,0.488,0.305,0.488
0.127,0.85,0.43,0.427,0.854,-0.427
0.13,0.85,0.425,0.977,0.854,0.61
,,,,,
0.132,0.965,0.427,-14.954,6.836,0.977
0.19,0.845,0.351,-51.636,6.653,-1.831
0.135,0.895,0.442,-55.115,-11.108,0.793
-0.034,0.695,0.441,-19.653,-19.714,30.64
0.162,1.248,0.214,-20.02,6.958,3.967
0.088,0.775,0.425,12.634,-10.254,-2.075
0.1,0.903,0.307,-9.216,1.709,-1.343
0.122,0.857,0.327,9.644,-1.038,-4.517
0.089,0.901,0.315,-7.263,2.93,-2.197
0.113,0.885,0.337,3.784,1.831,-3.052
0.104,0.904,0.322,-1.526,2.441,-0.793
0.117,0.907,0.328,2.38,3.479,-0.61
0.111,0.904,0.339,1.221,2.258,0.305
0.12,0.886,0.35,1.77,2.747,1.526
0.124,0.881,0.348,0.366,1.587,1.526
0.111,0.874,0.342,1.587,0.427,0.61
0.12,0.895,0.336,-1.221,0.854,-0.366
0.12,0.876,0.35,0.671,-0.732,0.244
0.117,0.88,0.332,1.77,0.854,-0.244
0.117,0.894,0.321,1.831,0.61,0.366
0.116,0.909,0.326,-1.77,0.977,0.732
0.123,0.88,0.333,0.061,1.526,-0.671
0.112,0.882,0.349,1.099,1.587,-0.427
0.115,0.895,0.338,0.854,1.221,-0.671
0.122,0.908,0.33,-0.549,0.671,-0.366
0.113,0.894,0.328,-0.488,0.488,0
0.12,0.895,0.345,0.977,1.099,0.061
0.118,0.899,0.33,0.793,0.732,-0.427
0.121,0.89,0.333,-0.793,1.221,-0.305
0.113,0.894,0.331,2.197,-0.122,-0.427
0.12,0.892,0.328,3.235,1.587,-2.319
0.13,0.884,0.337,0.549,1.404,-2.93
0.127,0.898,0.335,-0.793,1.648,-1.526
0.125,0.895,0.351,0.793,0.793,-0.61
0.124,0.9,0.34,-0.977,1.221,-0.061
0.127,0.896,0.341,-0.854,0.61,0.427
0.12,0.885,0.336,2.319,-0.244,0
0.13,0.884,0.333,0.732,0.671,-0.916
0.134,0.877,0.333,0.977,0.366,-1.404
0.135,0.901,0.332,0.61,1.099,-1.709
0.13,0.893,0.343,0.549,1.465,-0.366
0.122,0.895,0.337,0.916,1.16,0.549
0.132,0.899,0.342,0.549,0.916,1.038
0.128,0.887,0.351,1.648,-0.244,1.465
0.135,0.89,0.332,1.16,1.038,1.526
0.129,0.889,0.334,-0.122,0.732,1.648
0.124,0.903,0.325,-0.854,0.916,0.549
0.125,0.899,0.327,-1.038,1.038,0.61
0.125,0.883,0.34,2.075,0.793,0.793
0.123,0.897,0.34,1.404,1.038,0.732
0.126,0.897,0.333,-0.366,1.343,0.61
0.123,0.904,0.338,0.488,0.916,0.793
0.124,0.891,0.334,0.366,1.038,0.61
0.126,0.895,0.34,0.732,0.854,0.488
0.126,0.889,0.337,0.732,0.793,0.427
0.129,0.891,0.34,0.732,0.549,0.61
0.123,0.895,0.329,0.244,0.488,0.549
0.127,0.891,0.332,0.977,1.343,-0.061
0.123,0.886,0.336,0.916,0.488,-0.122
0.128,0.884,0.35,1.16,1.16,0.549
0.133,0.889,0.339,1.709,0.793,0.244
0.127,0.885,0.344,-0.916,0.916,-0.61
0.125,0.893,0.326,-0.549,0.793,0.61
0.119,0.911,0.321,-0.61,0.488,0
,,,,,
0.166,1.041,0.325,-27.893,5.615,-5.371
-0.017,0.816,0.239,57.739,2.563,-6.47
0.464,0.672,0.451,68.665,21.24,4.883
-0.127,1.223,0.338,-17.395,-22.827,1.953
0.189,0.851,0.357,18.433,3.967,8.24
0.172,0.843,0.363,8.606,8.362,-9.766
0.086,0.859,0.492,1.404,-6.104,4.883
0.15,0.862,0.435,3.906,1.099,2.869
0.162,0.841,0.447,1.16,-1.038,0.305
0.1,0.833,0.442,2.808,-4.639,5.615
0.137,0.834,0.415,1.587,2.136,-2.014
0.132,0.838,0.427,-0.854,-1.343,-0.488
0.112,0.842,0.427,0.061,-0.61,-0.366
0.135,0.854,0.409,-0.366,0.793,-1.77
0.123,0.848,0.432,-0.488,0.427,0.854
0.122,0.861,0.427,0.549,1.465,-0.183
0.133,0.85,0.429,0.793,1.587,0
0.127,0.844,0.437,1.343,0.549,-0.244
0.135,0.849,0.433,-0.488,1.038,0.549
0.134,0.847,0.429,0.183,0.427,-0.488
0.128,0.852,0.437,-0.549,0,-0.427
0.124,0.85,0.417,1.099,0.793,0.122
0.123,0.852,0.426,-0.366,0.427,-0.732
0.123,0.844,0.431,-0.732,-0.061,-0.305
0.129,0.861,0.421,0.366,0.793,-0.122
0.126,0.855,0.425,-0.305,0.183,0.427
0.126,0.855,0.427,-0.244,0.305,0.549
0.135,0.852,0.429,0.61,0.793,0.366
0.131,0.853,0.423,-0.549,1.038,-0.061
0.132,0.842,0.434,0.244,0.61,0.671
0.128,0.842,0.421,0.366,0.61,0.549
0.128,0.851,0.416,1.038,1.221,-0.366
0.125,0.849,0.436,-0.793,0.305,-0.549
0.134,0.857,0.425,0,1.343,-0.366
0.135,0.855,0.424,0.854,0.854,0.305
0.131,0.846,0.436,-0.183,0.488,0.61
0.131,0.845,0.428,0.549,0.671,0.427
0.13,0.846,0.428,0.305,0.488,-0.427
0.127,0.85,0.43,-0.061,0.122,0
0.129,0.856,0.424,0.244,1.099,0.244
0.129,0.859,0.429,-0.122,1.099,0.244
0.123,0.856,0.424,0.244,0.305,0.732
0.129,0.849,0.433,-0.549,0.793,0.366
0.138,0.864,0.426,-3.479,0.977,-0.061
0.133,0.866,0.415,-0.183,0.732,0.305
0.128,0.844,0.428,0.549,-0.183,-0.183
0.126,0.854,0.425,0.61,0.122,0.427
0.13,0.856,0.423,0.427,0.427,-0.061
0.123,0.853,0.422,0.244,-0.061,0.488
0.127,0.858,0.426,1.099,0.732,-0.549
0.129,0.856,0.422,1.221,0.305,0.244
0.124,0.846,0.42,1.526,0.488,1.648
0.13,0.856,0.424,0.244,1.16,0.854
0.135,0.856,0.428,0.732,0.61,0.366
0.123,0.849,0.425,0,0.916,0.305
0.125,0.854,0.42,0.916,1.099,0.183
0.127,0.851,0.427,-0.061,1.099,-0.061
0.128,0.859,0.426,0.549,1.343,0.488
0.128,0.851,0.424,1.038,0.61,0.732
0.129,0.856,0.427,0.488,0.549,0.427
0.126,0.849,0.425,1.099,1.038,0.549
0.124,0.852,0.427,0.366,0.854,0.366
0.127,0.851,0.426,0.122,0.366,0.061
0.129,0.854,0.422,0.61,0.793,0.793
,,,,,
0.108,0.958,0.434,-17.639,6.409,1.648
0.278,0.683,0.396,-52.246,2.563,-3.113
-0.092,0.805,0.414,-55.359,-21.606,3.296
-0.106,0.925,0.241,-57.434,0.732,16.235
0.371,0.957,0.292,45.532,-6.165,-4.028
0.098,0.785,0.371,2.563,-2.93,5.127
0.165,1.011,0.301,-8.606,8.484,3.235
0.104,0.816,0.332,9.338,-1.282,0.122
0.088,0.91,0.282,-6.653,2.075,0.183
0.123,0.879,0.338,3.845,2.319,-3.174
0.106,0.923,0.31,-1.587,3.418,-1.16
0.119,0.863,0.345,3.418,3.174,-1.404
0.121,0.926,0.331,-4.761,3.235,-1.16
0.102,0.863,0.359,2.625,0.488,0.549
0.116,0.917,0.326,-2.38,1.404,0.366
0.127,0.894,0.342,0.488,-0.244,-0.671
0.113,0.89,0.33,-0.061,-0.977,0.183
0.125,0.901,0.305,-3.113,1.099,0
0.111,0.879,0.339,2.441,-0.305,-0.366
0.121,0.9,0.325,0.305,1.77,-0.427
0.118,0.885,0.324,0.732,1.953,-0.305
0.11,0.898,0.329,-0.244,1.099,-0.061
0.122,0.892,0.337,2.197,1.099,-0.122
0.121,0.9,0.334,-0.732,1.099,-0.549
0.117,0.89,0.323,0.305,0.977,0.305
0.119,0.896,0.328,-0.183,0.183,-0.549
0.114,0.898,0.328,0,0.732,0.122
0.123,0.894,0.321,0.732,0.61,0.427
0.118,0.895,0.328,-1.038,0.671,0.427
0.111,0.893,0.332,-0.977,0.793,-0.793
0.119,0.894,0.329,-0.244,0.671,0.427
0.115,0.902,0.324,0.732,0.488,0.061
0.126,0.892,0.332,-0.671,0.549,-0.671
0.111,0.9,0.338,-1.404,1.16,0.305
0.112,0.892,0.325,3.052,-0.122,0.549
0.127,0.896,0.323,-0.854,1.038,0.305
0.123,0.891,0.318,-1.709,0.671,-0.671
0.112,0.894,0.319,-1.099,1.282,-0.122
0.116,0.896,0.331,1.648,0.61,-0.061
0.121,0.906,0.335,-0.366,0.977,0.366
0.119,0.901,0.32,1.831,1.038,0.61
0.12,0.889,0.333,0.061,0.793,0.671
0.125,0.895,0.324,3.54,0.305,1.099
0.11,0.9,0.311,0.183,-0.122,1.648
0.117,0.887,0.333,3.357,1.526,0.122
0.12,0.897,0.337,0.366,0.61,-0.366
0.122,0.909,0.32,-1.038,2.319,-0.061
0.119,0.888,0.331,0.488,1.343,-0.061
0.115,0.892,0.337,2.563,0.122,0.671
